   road1    |   road2    |                                                  intersection                                                  
  790915394 |  790915395 | 0101000020110F0000393C81D722CE63C1B206FC6285665541
  790915394 |  790915395 | 0101000020110F0000393C81D722CE63C1B206FC6285665541
  790915394 |  790915395 | 0101000020110F0000393C81D722CE63C1B206FC6285665541
  790915394 |  790915395 | 0101000020110F0000393C81D722CE63C1B206FC6285665541
  790915394 |  790915395 | 0101000020110F0000393C81D722CE63C1B206FC6285665541
  790915394 |  790915395 | 0101000020110F0000393C81D722CE63C1B206FC6285665541
  790915394 |  790915395 | 0101000020110F0000393C81D722CE63C1B206FC6285665541
  790915394 |  790915395 | 0101000020110F0000393C81D722CE63C1B206FC6285665541
  790915392 |  790915394 | 0101000020110F0000393C81D722CE63C1B0EC18BB8B665541
  790915392 |  790915394 | 0101000020110F0000393C81D722CE63C1B0EC18BB8B665541
  790915392 |  790915394 | 0101000020110F0000393C81D722CE63C1B0EC18BB8B665541
  790915392 |  790915394 | 0101000020110F0000393C81D722CE63C1B0EC18BB8B665541
  790915392 |  790915394 | 0101000020110F0000393C81D722CE63C1B0EC18BB8B665541
  790915392 |  790915394 | 0101000020110F0000393C81D722CE63C1B0EC18BB8B665541
  790915392 |  790915394 | 0101000020110F0000393C81D722CE63C1B0EC18BB8B665541
  790915392 |  790915394 | 0101000020110F0000393C81D722CE63C1B0EC18BB8B665541
 1045129780 | 1054295112 | 0101000020110F000094296F6135CC63C1BE85DAE1C8735541
 1045129780 | 1054295112 | 0101000020110F000094296F6135CC63C1BE85DAE1C8735541
 1045129780 | 1054295112 | 0101000020110F000094296F6135CC63C1BE85DAE1C8735541
 1045129780 | 1054295112 | 0101000020110F000094296F6135CC63C1BE85DAE1C8735541
 1045129780 | 1054295112 | 0101000020110F000094296F6135CC63C1BE85DAE1C8735541
 1045129780 | 1054295112 | 0101000020110F000094296F6135CC63C1BE85DAE1C8735541
 1045129780 | 1054295112 | 0101000020110F000094296F6135CC63C1BE85DAE1C8735541
 1045129780 | 1054295112 | 0101000020110F000094296F6135CC63C1BE85DAE1C8735541
  290451882 |  365118901 | 0101000020110F0000A4FA33B7B6C963C1D338B506D7695541
  290451882 |  365118901 | 0101000020110F0000A4FA33B7B6C963C1D338B506D7695541
  290451882 |  365118901 | 0101000020110F0000A4FA33B7B6C963C1D338B506D7695541
  290451882 |  365118901 | 0101000020110F0000A4FA33B7B6C963C1D338B506D7695541
  290451882 |  365118901 | 0101000020110F0000A4FA33B7B6C963C1D338B506D7695541
  290451882 |  365118901 | 0101000020110F0000A4FA33B7B6C963C1D338B506D7695541
  290451882 |  365118901 | 0101000020110F0000A4FA33B7B6C963C1D338B506D7695541
  290451882 |  365118901 | 0101000020110F0000A4FA33B7B6C963C1D338B506D7695541
