    road    | grid_intersections | total_intersections | non_grid_intersections 
 1039180688 |                  1 |                  17 |                     16
 1039186069 |                  1 |                  17 |                     16
 1039186071 |                  0 |                   7 |                      7
 1040536345 |                  0 |                   6 |                      6
 1040930012 |                  0 |                   6 |                      6
 1040930013 |                  0 |                  10 |                     10
 1042532444 |                  1 |                   7 |                      6
 1042541941 |                  1 |                  12 |                     11
 1042541942 |                  0 |                   9 |                      9
 1042541943 |                  2 |                   9 |                      7
 1042541944 |                  2 |                  13 |                     11
 1042636430 |                  0 |                   6 |                      6
 1042962102 |                  1 |                   7 |                      6
 1044608617 |                  2 |                  22 |                     20
 1045373827 |                  2 |                  28 |                     26
 1046034586 |                  1 |                   7 |                      6
 1046099835 |                  1 |                   7 |                      6
 1046099836 |                  0 |                   6 |                      6
 1046530672 |                  2 |                   9 |                      7
 1046601750 |                  0 |                   6 |                      6
 1046601757 |                  1 |                   8 |                      7
 1046601762 |                  1 |                   8 |                      7
 1046869147 |                  1 |                   7 |                      6
 1046901362 |                  0 |                   7 |                      7
 1046901365 |                  0 |                  21 |                     21
 1048573030 |                  2 |                   8 |                      6
 1048573031 |                  2 |                  10 |                      8
 1048573032 |                  1 |                   9 |                      8
 1048573033 |                  2 |                   9 |                      7
 1048573034 |                  0 |                   6 |                      6
 1048574030 |                  0 |                   6 |                      6
 1048574033 |                  0 |                   6 |                      6
 1048574036 |                  2 |                   9 |                      7
 1048574037 |                  1 |                   7 |                      6
 1048574040 |                  0 |                   6 |                      6
 1049655211 |                  1 |                   7 |                      6
 1049656599 |                  0 |                   9 |                      9
 1049660106 |                  1 |                   7 |                      6
 1049660806 |                  0 |                   6 |                      6
 1049701889 |                  0 |                   8 |                      8
 1049707669 |                  0 |                   8 |                      8
 1049707670 |                  0 |                   6 |                      6
 1049707676 |                  0 |                   8 |                      8
 1049707684 |                  1 |                   7 |                      6
 1049712134 |                  3 |                  10 |                      7
 1049712136 |                  0 |                   6 |                      6
 1049712137 |                  0 |                   7 |                      7
 1049712141 |                  0 |                   6 |                      6
 1049712142 |                  1 |                   8 |                      7
 1049712143 |                  0 |                   8 |                      8
 1049712149 |                  1 |                   7 |                      6
 1049712151 |                  0 |                   8 |                      8
 1049715257 |                  0 |                   6 |                      6
 1049715262 |                  5 |                  12 |                      7
