    road    | grid_intersections | total_intersections | non_grid_intersections 
  332490779 |                  9 |                  17 |                      8
  332490868 |                  0 |                   6 |                      6
  334627080 |                  0 |                   9 |                      9
  334627097 |                 11 |                  24 |                     13
  334627101 |                  2 |                   8 |                      6
  334627102 |                  1 |                   8 |                      7
  334800469 |                 13 |                  19 |                      6
  338671871 |                  1 |                   8 |                      7
  342038328 |                 14 |                  27 |                     13
  351550443 |                 23 |                  40 |                     17
  351550549 |                  0 |                   6 |                      6
  351550553 |                  1 |                   8 |                      7
  354618763 |                  1 |                   7 |                      6
  355202880 |                  6 |                  14 |                      8
  355584427 |                  0 |                  13 |                     13
  356069137 |                  2 |                   8 |                      6
  356069146 |                  0 |                   7 |                      7
  358391949 |                  1 |                   7 |                      6
  358392011 |                  7 |                  18 |                     11
  358392047 |                  0 |                   6 |                      6
  358392065 |                  0 |                   7 |                      7
  360641615 |                  4 |                  12 |                      8
  361224163 |                  4 |                  10 |                      6
  361224169 |                  3 |                   9 |                      6
  362955339 |                  2 |                   9 |                      7
  362955340 |                  1 |                  12 |                     11
  362955344 |                  0 |                   7 |                      7
  362955355 |                  0 |                   7 |                      7
  364534949 |                  6 |                  18 |                     12
  364534952 |                  2 |                  10 |                      8
  364537100 |                 19 |                  29 |                     10
  365360930 |                  0 |                  10 |                     10
  366910282 |                 23 |                  42 |                     19
  366911270 |                  2 |                  14 |                     12
  367136303 |                  4 |                  15 |                     11
  369208112 |                  1 |                   7 |                      6
  369955864 |                  1 |                   7 |                      6
  370622902 |                  0 |                   9 |                      9
  373527389 |                  5 |                  15 |                     10
  375113510 |                  1 |                   8 |                      7
  377513080 |                  5 |                  11 |                      6
  378038448 |                  2 |                  13 |                     11
  378153501 |                  2 |                  18 |                     16
  380519951 |                  1 |                   8 |                      7
  380632914 |                  3 |                   9 |                      6
  380632916 |                  2 |                   8 |                      6
  381523197 |                  5 |                  11 |                      6
  382186056 |                  6 |                  31 |                     25
  387229677 |                  1 |                  14 |                     13
  387229678 |                  2 |                  13 |                     11
  387412091 |                  6 |                  19 |                     13
  390529001 |                  5 |                  14 |                      9
  400844543 |                 19 |                  34 |                     15
  404487914 |                  4 |                  10 |                      6
  405519398 |                  2 |                   8 |                      6
  406702130 |                  3 |                  10 |                      7
  413204013 |                  1 |                   7 |                      6
  413204015 |                  1 |                   7 |                      6
  413204020 |                  6 |                  12 |                      6
  413204022 |                  0 |                   6 |                      6
  415120361 |                  0 |                   9 |                      9
  415120362 |                  0 |                   8 |                      8
  415120371 |                  0 |                  10 |                     10
  415120374 |                  0 |                   8 |                      8
  415120394 |                  0 |                   9 |                      9
  415120407 |                  0 |                   7 |                      7
  415120411 |                  0 |                   8 |                      8
  415120413 |                  0 |                   6 |                      6
  415120417 |                  0 |                   7 |                      7
  415120421 |                  0 |                   8 |                      8
  415120424 |                  0 |                   8 |                      8
  415120435 |                  0 |                   9 |                      9
  415120440 |                  0 |                   8 |                      8
  415120442 |                  0 |                   7 |                      7
  415120443 |                  0 |                   7 |                      7
  415120447 |                  0 |                  10 |                     10
  415120448 |                  0 |                   9 |                      9
  415120450 |                  0 |                   9 |                      9
  415120452 |                  0 |                   9 |                      9
  415120454 |                  0 |                   7 |                      7
  415120456 |                  0 |                  13 |                     13
  415120460 |                  0 |                   9 |                      9
  420761068 |                  0 |                   6 |                      6
  421028929 |                  2 |                  15 |                     13
  421031156 |                  5 |                  12 |                      7
  421035128 |                  3 |                  12 |                      9
  422272138 |                  5 |                  12 |                      7
  422272151 |                  2 |                   8 |                      6
  422278730 |                  1 |                   8 |                      7
  425550246 |                  6 |                  13 |                      7
  431328202 |                  1 |                   7 |                      6
  431329895 |                  3 |                   9 |                      6
  431329896 |                  1 |                   7 |                      6
  431329898 |                  1 |                   7 |                      6
  431329899 |                  2 |                  13 |                     11
  432828949 |                  1 |                   9 |                      8
  436392410 |                 13 |                  28 |                     15
  436493444 |                  9 |                  18 |                      9
  444072007 |                 12 |                  21 |                      9
  444072482 |                  7 |                  13 |                      6
  444072484 |                  3 |                  12 |                      9
  444072485 |                  8 |                  27 |                     19
  444072743 |                  2 |                  11 |                      9
  444072865 |                  0 |                   8 |                      8
  444282386 |                  4 |                  11 |                      7
  444767013 |                  4 |                  10 |                      6
  445826234 |                  3 |                  11 |                      8
  453816811 |                  3 |                  14 |                     11
  453816812 |                  2 |                  10 |                      8
  454070521 |                  2 |                   8 |                      6
  454350046 |                  3 |                  11 |                      8
  454350067 |                  4 |                  15 |                     11
  454696961 |                  3 |                  13 |                     10
  454709477 |                  2 |                  13 |                     11
  454887650 |                  4 |                  10 |                      6
  454961111 |                  1 |                   7 |                      6
  458318074 |                  3 |                  10 |                      7
  461209912 |                 13 |                  19 |                      6
  466956599 |                  4 |                  10 |                      6
  475697975 |                  0 |                   6 |                      6
  482302014 |                  1 |                   9 |                      8
  484607432 |                  1 |                   7 |                      6
  488991036 |                  2 |                  10 |                      8
  488991040 |                  4 |                  11 |                      7
  491221222 |                  1 |                   9 |                      8
  492178643 |                  1 |                   7 |                      6
  494050406 |                  9 |                  32 |                     23
  494050409 |                  3 |                  10 |                      7
  494081747 |                  7 |                  49 |                     42
  494799072 |                  0 |                   6 |                      6
  494799672 |                  1 |                   7 |                      6
  494800670 |                  2 |                   8 |                      6
  494925169 |                 11 |                  22 |                     11
  494953052 |                  1 |                   8 |                      7
  495113098 |                 19 |                  30 |                     11
  495120371 |                 15 |                  28 |                     13
  495121879 |                  6 |                  14 |                      8
  495293969 |                  2 |                  13 |                     11
  495295181 |                  4 |                  13 |                      9
  495297335 |                  4 |                  11 |                      7
  496385170 |                  1 |                  13 |                     12
  496386012 |                  1 |                   7 |                      6
  496396461 |                  4 |                  10 |                      6
  496400636 |                  1 |                  29 |                     28
  496532864 |                  8 |                  16 |                      8
  496534841 |                  1 |                  37 |                     36
  496574535 |                  4 |                  10 |                      6
  496579984 |                  3 |                  12 |                      9
  496579985 |                  7 |                  15 |                      8
  496579996 |                  6 |                  15 |                      9
  496579997 |                  5 |                  11 |                      6
  496579998 |                  4 |                  11 |                      7
  496580003 |                  1 |                  14 |                     13
  496580005 |                  4 |                  11 |                      7
  496585860 |                  0 |                   9 |                      9
  497010410 |                  1 |                  11 |                     10
  497019334 |                  2 |                  10 |                      8
  497023593 |                  9 |                  32 |                     23
  497023607 |                  5 |                  28 |                     23
  497023609 |                  0 |                   6 |                      6
  497023610 |                  3 |                  23 |                     20
  497024573 |                  3 |                  10 |                      7
  500780063 |                  4 |                  11 |                      7
  500780068 |                  0 |                  10 |                     10
  502414890 |                  2 |                  19 |                     17
  504334183 |                  2 |                   8 |                      6
  515648572 |                  0 |                   6 |                      6
  515654739 |                  2 |                   8 |                      6
  515654740 |                  1 |                   8 |                      7
  515660344 |                  1 |                  14 |                     13
  519419188 |                  5 |                  15 |                     10
  519419190 |                 10 |                  27 |                     17
  524604474 |                  4 |                  11 |                      7
  527883169 |                  1 |                   9 |                      8
  527977295 |                  4 |                  13 |                      9
  544252127 |                  0 |                  10 |                     10
  554315303 |                  1 |                   8 |                      7
  556009557 |                  2 |                   9 |                      7
  556037567 |                  4 |                  10 |                      6
  557456740 |                  3 |                  17 |                     14
  558638691 |                 13 |                  19 |                      6
  564754046 |                  2 |                  10 |                      8
  578780444 |                  2 |                   8 |                      6
  584182866 |                  0 |                   9 |                      9
  586354387 |                  1 |                   8 |                      7
  586961334 |                  2 |                   9 |                      7
  586961335 |                  3 |                  14 |                     11
  588049213 |                  1 |                   8 |                      7
  588083422 |                 10 |                  24 |                     14
  588445535 |                  2 |                   8 |                      6
  592460866 |                  2 |                  10 |                      8
  602892014 |                  0 |                   8 |                      8
  611093464 |                  1 |                   8 |                      7
  611152368 |                  5 |                  14 |                      9
  611152369 |                  1 |                   8 |                      7
  611152370 |                  2 |                  15 |                     13
  611155216 |                  1 |                  11 |                     10
  611155217 |                  5 |                  11 |                      6
  611657640 |                  2 |                   9 |                      7
  612228351 |                  0 |                   6 |                      6
  619854975 |                  3 |                  11 |                      8
  622498830 |                  1 |                   7 |                      6
  623585427 |                  5 |                  22 |                     17
  624495175 |                  0 |                   6 |                      6
  625668550 |                  1 |                   7 |                      6
  627777487 |                  4 |                  10 |                      6
  629959862 |                  0 |                   8 |                      8
  629959863 |                  0 |                   9 |                      9
  629959864 |                  0 |                  11 |                     11
  629959865 |                  0 |                   7 |                      7
  630744125 |                  6 |                  18 |                     12
  630744129 |                  5 |                  13 |                      8
  630744132 |                  4 |                  11 |                      7
  635829873 |                  0 |                   6 |                      6
  636154176 |                  9 |                  16 |                      7
  636154177 |                  1 |                   8 |                      7
  636154189 |                  3 |                   9 |                      6
  636154194 |                  3 |                   9 |                      6
  636154195 |                  5 |                  11 |                      6
  636334295 |                  1 |                   8 |                      7
  636334296 |                  3 |                  11 |                      8
  636334298 |                  1 |                   8 |                      7
  636334299 |                  5 |                  14 |                      9
  636334300 |                  2 |                  10 |                      8
  636334339 |                 11 |                  21 |                     10
  636334340 |                  3 |                  11 |                      8
  636334365 |                  0 |                   6 |                      6
  636334366 |                  1 |                   7 |                      6
  636334368 |                  1 |                   8 |                      7
  636334384 |                 10 |                  21 |                     11
  636334387 |                  2 |                   9 |                      7
  636334388 |                  3 |                   9 |                      6
  636334408 |                  2 |                  14 |                     12
  636334409 |                  0 |                   6 |                      6
  636334410 |                  1 |                   8 |                      7
  636334413 |                  1 |                   8 |                      7
  636383764 |                 10 |                  23 |                     13
  636383767 |                 14 |                  23 |                      9
  636383768 |                  9 |                  18 |                      9
  636383769 |                  2 |                  10 |                      8
  636383770 |                  1 |                  14 |                     13
  636383771 |                  2 |                  10 |                      8
  636383772 |                  0 |                  14 |                     14
  636383773 |                  0 |                   7 |                      7
  636383776 |                  2 |                   9 |                      7
  636383810 |                  3 |                   9 |                      6
  636383830 |                  7 |                  16 |                      9
  636383832 |                  5 |                  14 |                      9
  636383833 |                  1 |                   8 |                      7
  636383837 |                  0 |                   6 |                      6
  636383840 |                  2 |                   8 |                      6
  636383842 |                  3 |                   9 |                      6
  636383848 |                  3 |                   9 |                      6
  636383860 |                  2 |                  10 |                      8
  636383868 |                  2 |                   9 |                      7
  636383872 |                  3 |                   9 |                      6
  636383876 |                  1 |                   9 |                      8
  636433978 |                  3 |                   9 |                      6
  636434006 |                  6 |                  12 |                      6
  636434014 |                  5 |                  17 |                     12
  636434023 |                  1 |                   8 |                      7
  636434024 |                  0 |                   6 |                      6
  636434029 |                  1 |                  14 |                     13
  636434034 |                  2 |                  10 |                      8
  636434035 |                  4 |                  10 |                      6
  636434036 |                  2 |                  13 |                     11
  636434041 |                  4 |                  13 |                      9
  636434043 |                  6 |                  12 |                      6
  636434048 |                  5 |                  11 |                      6
  636434051 |                  5 |                  11 |                      6
  636434052 |                  3 |                  11 |                      8
  636434059 |                  5 |                  11 |                      6
  636434061 |                  1 |                   8 |                      7
  636434062 |                  7 |                  13 |                      6
  636434103 |                  3 |                  13 |                     10
  636434104 |                  2 |                   8 |                      6
  636434106 |                  1 |                   7 |                      6
  636434117 |                  0 |                   8 |                      8
  636434120 |                  1 |                  11 |                     10
  636434122 |                  1 |                   7 |                      6
  636434134 |                 12 |                  18 |                      6
  636434143 |                  6 |                  12 |                      6
  636434149 |                  1 |                   7 |                      6
  636434151 |                  0 |                   7 |                      7
  636434158 |                  3 |                  13 |                     10
  636434165 |                  1 |                   8 |                      7
  636434196 |                  3 |                   9 |                      6
  636535765 |                  1 |                  12 |                     11
  636535766 |                  2 |                   8 |                      6
  636535768 |                  0 |                  11 |                     11
  636535769 |                  4 |                  30 |                     26
  636535770 |                  4 |                  11 |                      7
  636535772 |                  2 |                  11 |                      9
  636535775 |                  2 |                  17 |                     15
  636535776 |                  2 |                  14 |                     12
  636535777 |                  3 |                   9 |                      6
  636535778 |                  3 |                  10 |                      7
  636535780 |                  2 |                   9 |                      7
  636535783 |                  0 |                   6 |                      6
  636535784 |                  3 |                  18 |                     15
  636535786 |                  2 |                  17 |                     15
  636535795 |                  2 |                  11 |                      9
  636535796 |                  1 |                  15 |                     14
  636535798 |                  3 |                  10 |                      7
  636535804 |                  3 |                   9 |                      6
  636535807 |                  1 |                   9 |                      8
  636535811 |                  3 |                   9 |                      6
  636535817 |                  4 |                  10 |                      6
  636535821 |                  3 |                  11 |                      8
  636535822 |                  3 |                  14 |                     11
  636535824 |                  1 |                   8 |                      7
  636535841 |                  0 |                   6 |                      6
  636535851 |                  2 |                  14 |                     12
  636535855 |                  9 |                  18 |                      9
  636535860 |                  3 |                  12 |                      9
  636535873 |                  2 |                   8 |                      6
  636535948 |                  3 |                  10 |                      7
  636535951 |                  5 |                  11 |                      6
  636837131 |                  1 |                   7 |                      6
  636837132 |                  0 |                   6 |                      6
  636837134 |                  7 |                  13 |                      6
  636837135 |                  0 |                   7 |                      7
  636837136 |                 19 |                  28 |                      9
  636837137 |                  6 |                  16 |                     10
  636837138 |                  2 |                   9 |                      7
  637254978 |                  5 |                  11 |                      6
  637515745 |                  1 |                  10 |                      9
  637515783 |                  6 |                  19 |                     13
  637515787 |                  4 |                  15 |                     11
  637515791 |                  0 |                   6 |                      6
  637515812 |                  3 |                  12 |                      9
  637515830 |                  0 |                   7 |                      7
  637515831 |                  7 |                  13 |                      6
  637515838 |                  5 |                  11 |                      6
  637515842 |                  0 |                   6 |                      6
  637515856 |                  3 |                  12 |                      9
  637515857 |                  7 |                  17 |                     10
  637515891 |                  0 |                   7 |                      7
  637515932 |                  3 |                  14 |                     11
  637515933 |                  1 |                   7 |                      6
  637589306 |                  0 |                   6 |                      6
  637589316 |                  2 |                   8 |                      6
  637589329 |                  1 |                   7 |                      6
  637589330 |                  8 |                  18 |                     10
  637911917 |                  0 |                   6 |                      6
  637911918 |                  2 |                   8 |                      6
  637911933 |                  2 |                   8 |                      6
  637911935 |                  1 |                   7 |                      6
  637912078 |                  3 |                  18 |                     15
  637976936 |                  2 |                  14 |                     12
  637976963 |                  4 |                  10 |                      6
  637976965 |                  2 |                   8 |                      6
  637976967 |                  4 |                  16 |                     12
  637976980 |                  1 |                   7 |                      6
  637976981 |                  0 |                   7 |                      7
  637976982 |                  2 |                  11 |                      9
  637976987 |                  0 |                   9 |                      9
  637976993 |                  2 |                  15 |                     13
  637976994 |                  2 |                  14 |                     12
  637976996 |                  5 |                  18 |                     13
  637977003 |                  1 |                  11 |                     10
  637977004 |                  2 |                   9 |                      7
  637977005 |                  1 |                   7 |                      6
  637977010 |                  1 |                   8 |                      7
  638015872 |                  2 |                  14 |                     12
  638015876 |                  0 |                   7 |                      7
  638015877 |                  1 |                  11 |                     10
  638015878 |                  2 |                   8 |                      6
  638015879 |                  3 |                   9 |                      6
  638015880 |                  1 |                  10 |                      9
  638015881 |                  0 |                   6 |                      6
  638015915 |                 11 |                  19 |                      8
  638015917 |                  4 |                  13 |                      9
  638015918 |                  3 |                   9 |                      6
  638015919 |                  2 |                  10 |                      8
  638053945 |                  2 |                   8 |                      6
  638377753 |                  1 |                   7 |                      6
  638377755 |                 15 |                  22 |                      7
  638377758 |                  2 |                  10 |                      8
  638377771 |                  1 |                   7 |                      6
  638519789 |                  1 |                   7 |                      6
  638798779 |                  3 |                   9 |                      6
  638798780 |                  2 |                   9 |                      7
  638873382 |                  1 |                   8 |                      7
  638873388 |                  3 |                   9 |                      6
  638873391 |                  3 |                  10 |                      7
  638873436 |                  2 |                  12 |                     10
  638873442 |                  1 |                  12 |                     11
  638873443 |                  1 |                   8 |                      7
  638873444 |                  1 |                  12 |                     11
  638873446 |                  1 |                  10 |                      9
  639492443 |                  1 |                   8 |                      7
  639492467 |                  0 |                   9 |                      9
  639492513 |                  6 |                  14 |                      8
  639492579 |                  3 |                  13 |                     10
  639530852 |                  3 |                   9 |                      6
  639530855 |                  3 |                  11 |                      8
  639531029 |                  2 |                  11 |                      9
  639531037 |                  2 |                   8 |                      6
  639531053 |                  2 |                  11 |                      9
  639531057 |                  2 |                  12 |                     10
  639531066 |                  3 |                   9 |                      6
  639531070 |                  5 |                  12 |                      7
  639531075 |                  4 |                  10 |                      6
  639783576 |                  4 |                  13 |                      9
  639783577 |                  0 |                   9 |                      9
  639783605 |                  3 |                  10 |                      7
  639783614 |                  3 |                  15 |                     12
  639783615 |                  1 |                  10 |                      9
  640047341 |                  3 |                  10 |                      7
  640047342 |                  5 |                  12 |                      7
  640047344 |                  0 |                   6 |                      6
  640047345 |                  3 |                   9 |                      6
  640047346 |                  2 |                   8 |                      6
  640047348 |                  2 |                   8 |                      6
  640047355 |                  4 |                  11 |                      7
  640047361 |                  2 |                  15 |                     13
  640047371 |                  3 |                   9 |                      6
  640047374 |                  3 |                  12 |                      9
  640047398 |                  1 |                  11 |                     10
  640047400 |                  4 |                  12 |                      8
  640047406 |                  3 |                   9 |                      6
  640047408 |                  2 |                   8 |                      6
  640047410 |                  2 |                  10 |                      8
  640047412 |                  2 |                  10 |                      8
  640047416 |                  1 |                   9 |                      8
  640047559 |                  1 |                  13 |                     12
  640047573 |                  5 |                  13 |                      8
  640047582 |                  6 |                  15 |                      9
  640047591 |                  3 |                  15 |                     12
  640089020 |                  1 |                   7 |                      6
  640098797 |                  0 |                   8 |                      8
  640148950 |                  4 |                  12 |                      8
  640148953 |                  2 |                   8 |                      6
  640524710 |                  0 |                   6 |                      6
  640843684 |                  1 |                   8 |                      7
  640843691 |                  3 |                   9 |                      6
  642650359 |                  4 |                  12 |                      8
  648933348 |                  3 |                  21 |                     18
  649255510 |                  2 |                  13 |                     11
  649718381 |                  8 |                  19 |                     11
  651224531 |                  2 |                  20 |                     18
  652281214 |                  5 |                  15 |                     10
  652449767 |                  2 |                  15 |                     13
  652449768 |                  2 |                  17 |                     15
  652449769 |                  0 |                   7 |                      7
  652535552 |                  5 |                  16 |                     11
  652977158 |                  7 |                  13 |                      6
  653251968 |                  0 |                   8 |                      8
  654107289 |                  9 |                  18 |                      9
  654627965 |                  4 |                  10 |                      6
  654689781 |                  6 |                  13 |                      7
  654738416 |                  7 |                  24 |                     17
  655507294 |                 11 |                  18 |                      7
  659435283 |                  4 |                  12 |                      8
  659621796 |                  0 |                   7 |                      7
  660413033 |                  1 |                   8 |                      7
  660413038 |                  3 |                  10 |                      7
  660413042 |                  2 |                  10 |                      8
  664013356 |                  1 |                   8 |                      7
  664013357 |                  0 |                   6 |                      6
  677801675 |                  4 |                  11 |                      7
  689674756 |                  0 |                   9 |                      9
  694560794 |                  0 |                   8 |                      8
  694778799 |                  0 |                   9 |                      9
  695490953 |                  1 |                   8 |                      7
  695490954 |                  4 |                  10 |                      6
  695490955 |                  2 |                  13 |                     11
  696417289 |                  0 |                   6 |                      6
  696417293 |                  1 |                   7 |                      6
  696417295 |                  1 |                  16 |                     15
  696417399 |                  0 |                   6 |                      6
  697324308 |                  6 |                  20 |                     14
  698592250 |                  1 |                   7 |                      6
  698992079 |                  6 |                  15 |                      9
  700230691 |                  4 |                  15 |                     11
  700231761 |                  5 |                  12 |                      7
  700231763 |                  1 |                   7 |                      6
  700593561 |                  1 |                   8 |                      7
  700593562 |                  0 |                   6 |                      6
  700593563 |                  2 |                  11 |                      9
  700593564 |                  0 |                  11 |                     11
  700593570 |                  0 |                  11 |                     11
  700609054 |                  0 |                   8 |                      8
  700609055 |                  0 |                  10 |                     10
  700750429 |                  8 |                  15 |                      7
  700956778 |                  7 |                  15 |                      8
  700959944 |                  3 |                  10 |                      7
  701698739 |                  2 |                   8 |                      6
  704081176 |                  0 |                   6 |                      6
  704086794 |                  0 |                   6 |                      6
  704555456 |                  0 |                   6 |                      6
  704555466 |                  1 |                   7 |                      6
  704562127 |                  7 |                  13 |                      6
  704562133 |                  2 |                   8 |                      6
  704562139 |                  5 |                  12 |                      7
  704562140 |                  1 |                   9 |                      8
  704562141 |                  1 |                  12 |                     11
  704722800 |                  0 |                   7 |                      7
  705608151 |                  4 |                  10 |                      6
  706813418 |                  6 |                  14 |                      8
  706813429 |                  0 |                   6 |                      6
  708022386 |                  2 |                   9 |                      7
  708022389 |                  3 |                  16 |                     13
  708023405 |                  1 |                   8 |                      7
  708828274 |                  8 |                  34 |                     26
  710384778 |                  1 |                   7 |                      6
  710384781 |                  2 |                  20 |                     18
  710758007 |                  1 |                  28 |                     27
  710758017 |                  0 |                   6 |                      6
  712270820 |                  1 |                  11 |                     10
  714526091 |                  8 |                  16 |                      8
  715628403 |                  3 |                  13 |                     10
  717834509 |                  4 |                  13 |                      9
  717857004 |                  6 |                  23 |                     17
  717949863 |                  4 |                  14 |                     10
  717949873 |                  0 |                  10 |                     10
  717949882 |                  1 |                   7 |                      6
  717949885 |                  2 |                  13 |                     11
  717949886 |                  0 |                   6 |                      6
  717949887 |                  0 |                  10 |                     10
  717949889 |                  5 |                  11 |                      6
  717949891 |                  0 |                   6 |                      6
  717949892 |                  4 |                  10 |                      6
  717951422 |                  0 |                   8 |                      8
  717951423 |                  3 |                   9 |                      6
  717951424 |                  1 |                   9 |                      8
  717951425 |                  2 |                   8 |                      6
  717951426 |                  0 |                   6 |                      6
  717952687 |                  0 |                   8 |                      8
  717954264 |                  3 |                   9 |                      6
  718134032 |                  1 |                  15 |                     14
  718136745 |                 12 |                  31 |                     19
  718948037 |                  1 |                  12 |                     11
  718948043 |                  0 |                   7 |                      7
  718969515 |                  1 |                   7 |                      6
  718969516 |                  2 |                   9 |                      7
  718970959 |                  2 |                   8 |                      6
  720180737 |                  8 |                  28 |                     20
  720180739 |                  4 |                  16 |                     12
  720899822 |                  1 |                   7 |                      6
  720899824 |                  3 |                  14 |                     11
  720899835 |                  2 |                   8 |                      6
  720899837 |                  1 |                   8 |                      7
  720899838 |                  2 |                   8 |                      6
  722106845 |                  1 |                  11 |                     10
  722379434 |                  0 |                   6 |                      6
  722795493 |                  4 |                  19 |                     15
  723024235 |                  3 |                  10 |                      7
  723201354 |                 12 |                  20 |                      8
  723794798 |                  1 |                   7 |                      6
  723794799 |                  0 |                   6 |                      6
  723794805 |                  2 |                  12 |                     10
  723954799 |                  7 |                  24 |                     17
  723954800 |                 17 |                  50 |                     33
  725047948 |                  5 |                  11 |                      6
  725423600 |                  2 |                   9 |                      7
  725769216 |                  2 |                   8 |                      6
  725993195 |                 17 |                  23 |                      6
  728062284 |                  6 |                  12 |                      6
  728062290 |                  1 |                   7 |                      6
  728062292 |                  4 |                  10 |                      6
  728062295 |                 11 |                  24 |                     13
