   osm_id   |    min_longitude    
  995004608 | -10389124.848462755
  917616167 | -10389070.457759554
  916899455 |  -10389065.90479238
  917616168 | -10389045.377478277
 1091133398 | -10389018.493821252
  917471772 | -10388956.756031657
  917471773 | -10388938.800197793
 1088851205 |  -10388933.27875105
  916899470 | -10388931.286132164
  917616165 | -10388927.445609732
    6042631 |   -10388911.5157906
  916899441 | -10388909.244872987
  917616151 | -10388907.441497236
  916899445 | -10388907.218858255
  917616166 | -10388902.365328455
    6040776 | -10388889.196232695
  967392695 |  -10388880.92519453
 1046034586 |  -10388804.49323215
 1108446776 | -10388789.687739875
  916899453 | -10388783.164417714
  708023405 |  -10388781.26085442
  916899452 | -10388764.896889275
  917616154 | -10388762.926534288
  917616155 | -10388760.377317948
  704722800 | -10388748.009722523
 1056703775 | -10388744.959568474
 1005408956 |  -10388723.00736489
  894654859 | -10388707.099809654
  925076574 | -10388703.815884678
  917471776 | -10388645.428811755
  230582175 | -10388547.144833334
 1056703777 |  -10388530.38011802
 1075261005 |  -10388503.90834311
  917471777 | -10388499.500091273
 1056703774 | -10388497.540868238
  917471778 |  -10388483.00254274
  916899484 | -10388482.445945285
  611152369 | -10388460.126387382
  652449769 | -10388458.634706205
  799589886 | -10388456.419448338
  611152368 | -10388452.378550822
 1089328377 | -10388425.461497948
  405519398 |  -10388420.12929434
  445826234 | -10388405.791343926
 1004186868 | -10388405.680024434
 1086793854 | -10388405.435121555
  240336813 | -10388400.459140318
 1027032999 | -10388351.011022504
  917616172 | -10388350.743855728
 1099375475 | -10388348.951611927
  917616174 | -10388336.840051327
 1098091880 | -10388315.722743925
 1005663490 | -10388263.046360882
 1005663488 | -10388262.890513593
  230582172 | -10388253.361565182
  750968560 | -10388252.125918834
  502414890 | -10388251.368946297
  750968548 | -10388240.192469422
   44033614 | -10388240.192469422
  917616224 | -10388224.040011307
  916899483 | -10388221.379475476
  916899454 | -10388220.756086329
  750968547 | -10388215.691049496
  917471782 | -10388213.030513668
 1118198429 | -10388212.941458074
  636334339 | -10388212.540707909
  750969355 |  -10388209.50168581
  638015879 | -10388205.583239732
  292229060 | -10388204.191746097
  638015878 | -10388204.080426607
  917471783 | -10388201.419890778
  917616225 |  -10388199.22689681
  636434048 | -10388196.054291321
  750968554 | -10388195.675805053
  750968549 |  -10388182.52897319
  488991040 | -10388176.517720686
  204713839 |  -10388176.25055391
  204436719 | -10388162.235430017
  750968559 | -10388150.769522468
  230400130 |  -10388129.93051379
  917616176 |  -10388082.15218834
  916899479 | -10388075.027740931
 1027024381 | -10388067.769710131
  917616177 | -10388064.541444898
  916899472 |   -10388062.0924161
 1118741116 | -10388036.054787204
  205007905 | -10388021.405142214
 1102713048 |   -10388004.0504336
  917616180 | -10387954.580051892
  230400129 | -10387953.956662744
  230400128 | -10387952.398189873
  927761115 | -10387945.028839583
  107607419 | -10387944.717145009
  917616217 | -10387940.431344612
  916899478 | -10387938.761552252
  917616181 | -10387933.763307115
  916072421 | -10387920.894773979
  639531066 | -10387857.810018545
  230400127 |  -10387845.65393015
  917616182 |  -10387824.01342114
  917616183 | -10387805.066843808
  993980474 | -10387748.906160703
  917616193 | -10387746.245624872
  205008297 | -10387737.763079673
   55057033 | -10387736.983843237
  761328064 | -10387736.137815109
  917616194 |  -10387720.16346818
  917616186 | -10387694.671304788
  917616187 | -10387675.479824575
  916899473 | -10387661.787527207
  917616216 | -10387655.019302169
  636535821 | -10387605.270621732
 1091135771 | -10387600.283508545
  114550623 | -10387594.350179685
  204714690 | -10387593.904901722
  761328058 |  -10387592.61359563
  728062290 |  -10387587.05875304
  917616220 |  -10387584.25350187
  917616192 | -10387566.464647241
  204881356 | -10387554.586857574
  917616222 | -10387488.207045214
  986373393 | -10387476.006429022
  986373499 |  -10387454.98930916
  204714692 | -10387452.640467906
  160147840 | -10387448.388063358
  875355269 | -10387440.718150442
  874433021 | -10387408.769456584
   86292565 | -10387379.726201437
